Week,OHP weight,p Reps,Squat Weight,s Reps,Deadlift Weight,d Reps,Bench Weight,b Reps,Row weight,r reps,Program
-1,30,4,62.5,1,80,5,40,6,37.5,4,NSUNS5day_row_variant
0,32.5,4,65,3,85,6,47.5,4,42.5,6,NSUNS5day_row_variant
1,35,3,67.5,5,92.5,6,52.5,2,50,3,NSUNS5day_row_variant
2,,,70,3,,,,,,,NSUNS5day_row_variant
3,,,,,,,,,,,NSUNS5day_row_variant
4,,,,,,,,,,,NSUNS5day_row_variant
5,,,,,,,,,,,NSUNS5day_row_variant
6,,,,,,,,,,,NSUNS5day_row_variant
7,,,,,,,,,,,NSUNS5day_row_variant
8,,,,,,,,,,,NSUNS5day_row_variant
9,,,,,,,,,,,NSUNS5day_row_variant
10,,,,,,,,,,,NSUNS5day_row_variant
11,,,,,,,,,,,NSUNS5day_row_variant
12,,,,,,,,,,,NSUNS5day_row_variant
13,,,,,,,,,,,NSUNS5day_row_variant
14,,,,,,,,,,,NSUNS5day_row_variant
15,,,,,,,,,,,NSUNS5day_row_variant
16,,,,,,,,,,,NSUNS5day_row_variant
